subarea_id,map_model,unk2,unk3,unk4,map_cam_model
14,"d15214",0,1,0.5,""
29,"d15229",0,0.75,1.2,"map_cam01"
22,"d15222",0,0.75,1.1,"map_cam01"
23,"d15223",0,0.75,0.5,"map_cam01"
1,"d15001",0,1,1,"map_cam01"
11,"d15001",0,1,1,"map_cam01"
21,"d15001",0,1,1,"map_cam01"
19,"d15219",2,0.75,1.3,"map_cam01"
10,"d15210",2,0.75,1.3,"map_cam01"
2,"d15202",2,0.75,1.3,"map_cam01"
5,"d15205",0,1,0.5,"map_cam03"
17,"d15217",0,1,0.5,"map_cam03"
15,"d15215",0,1,0.5,"map_cam03"
25,"d15225",2,0.3,0,""
26,"d15226",2,1,0.5,""
24,"d15224",2,1,0.5,""
30,"d15030",0,0.75,0.5,""
27,"d15227",0,0.75,0.5,"map_cam01"
3,"d15203",0,0.75,1.25,"map_cam04"
9,"d15209",0,0.75,1.25,"map_cam01"
6,"d15206",0,0.75,1.25,"map_cam01"
13,"d15213",0,1,0,"map_cam04"
8,"d15208",0,1,0,"map_cam04"
16,"d15216",0,1,0,"map_cam04"
4,"d15204",0,1,0,"map_cam04"
18,"d15218",0,0.75,0,""
28,"d15228",2,0.75,1.3,"map_cam01"
7,"d15207",2,0.75,1.3,"map_cam01"
12,"d15212",2,0.75,1.3,"map_cam01"
20,"d15220",2,0.75,1.3,"map_cam01"
