subarea_id,map_model,unk2,unk3,unk4,map_cam_model
18,"d15118",0,1,0.5,"map_cam03"
2,"d15102",0,0.75,1.5,"map_cam01"
23,"d15123",0,0.75,1.5,"map_cam01"
27,"d15127",0,0.75,1.5,"map_cam01"
22,"d15122",0,0.75,1.5,"map_cam01"
1,"d15001",0,1,1,"map_cam01"
11,"d15001",0,1,1,"map_cam01"
21,"d15001",0,1,1,"map_cam01"
14,"d15114",2,0.75,1.3,"map_cam01"
3,"d15103",2,0.75,1.3,"map_cam01"
9,"d15109",2,0.75,1.3,""
25,"d15125",2,0.75,1.3,"map_cam01"
5,"d15105",2,0.75,1.3,"map_cam01"
6,"d15106",2,0.8,1,""
7,"d15107",2,0.5,1,""
30,"d15030",0,0.75,0.5,""
15,"d15115",2,0.75,1.5,"map_cam04"
19,"d15119",0,0.75,0.5,"map_cam01"
17,"d15117",0,0.75,0.5,"map_cam01"
28,"d15128",0,0.75,1.25,"map_cam04"
13,"d15113",0,0.75,1.25,"map_cam01"
8,"d15108",0,0.75,0.7,"map_cam02"
20,"d15120",0,0.75,0,""
10,"d15110",0,0.75,0.25,"map_cam01"
26,"d15126",2,0.75,1.5,"map_cam01"
24,"d15124",2,0.75,0.7,"map_cam01"
29,"d15129",2,0.75,1.3,"map_cam01"
4,"d15104",2,0.75,1.3,"map_cam01"
12,"d15112",2,0.75,1.3,"map_cam01"
16,"d15116",2,0.75,1.3,"map_cam01"
