subarea_id,map_model,unk2,unk3,unk4,map_cam_model
1,"d1701",0,0.75,0.25,"map_cam01"
2,"d1704",0,0.75,0.25,"map_cam01"
3,"d1707",0,0.75,0.25,"map_cam01"
4,"d1713",0,0.75,0.25,""
5,"d1703",0,0.75,0.25,"map_cam01"
6,"d1705",0,0.75,0.25,"map_cam01"
7,"d1706",0,0.75,0.25,"map_cam01"
8,"d1702",0,0.75,0.25,"map_cam01"
9,"d1703",0,0.75,0.25,"map_cam01"
10,"d1705",0,0.75,0.25,"map_cam01"
11,"d1706",0,0.75,0.25,"map_cam01"
12,"d1702",0,0.75,0.25,"map_cam01"
13,"d1714",0,0.75,0,""
14,"d1715",0,0.75,0,""
15,"d1716",0,0.75,0,""
16,"d1717",0,0.75,0,""
17,"d1718",0,0.75,0,""
18,"d1719",0,0.75,0,""
19,"d1720",0,0.75,0,""
20,"d1721",0,0.75,0,""
