subarea_id,map_model,unk2,unk3,unk4,map_cam_model
1,"d13101",0,1,0,""
2,"d13102",0,0.75,1.25,"map_cam04"
3,"d13103",0,0.75,0.7,"map_cam02"
4,"d13104",0,0.75,1.25,"map_cam04"
5,"d13105",0,0.75,1.25,"map_cam04"
6,"d13106",0,0.75,0.7,"map_cam02"
7,"d13107",0,0.75,1.25,"map_cam01"
8,"d13108",0,0.75,0.7,"map_cam02"
9,"d13109",0,0.75,1.25,"map_cam04"
10,"d13110",0,0.75,1.25,"map_cam04"
11,"d13111",0,0.75,1.25,"map_cam04"
12,"d13112",0,0.75,1.25,"map_cam01"
13,"d13113",0,0.75,1.25,"map_cam04"
14,"d13114",0,0.75,0.7,"map_cam02"
15,"d13115",0,0.75,1.25,"map_cam01"
16,"d13116",0,0.75,0.7,"map_cam02"
17,"d13117",0,0.75,1.25,"map_cam01"
18,"d13118",0,0.75,1,""
19,"d13119",0,0.75,1,""
20,"d13120",0,0.75,1.25,"map_cam01"
21,"d13121",0,0.75,1.25,"map_cam01"
22,"d13122",0,0.5,0,""
